name,description,cuisine
Smoked Tofu And Grilled Vegetable Salad Recipe,"Smoked Tofu And Grilled Vegetable Salad is a wholesome and healthy dinner salad recipe idea. Vegetables to be used in this salad can vary according to the taste and seasonal availability. This is a wonderful salad dressed with sesame oil, soy sauce, ginger and garlic dressing. This salad is quite fulfilling and packed with the nutritional benefits of tofu and vegetables.",Continental
Spicy Cabbage Rice Recipe (South Indian Style Mutta Kose Sadham Recipe),Spicy Cabbage Rice takes very few ingredients to make and takes hardly 20 minutes to get prepared. This is a perfect recipe if you want to use your leftover rice and can be packed in your lunch box too. Serve Spicy Cabbage Rice Recipe with raita of your choice.,Indian
Delicious Skillet Roasted Fondant Potatoes Recipe,Fondant Potatoes is a recipe which is popular in England and France. Fondant potatoes are very juicy from inside and tastes delicious. It is a perfect dish to make during rains to enjoy with your friends and family.,French
Cabbage Besan Fry Recipe,"Cabbage Besan Fry is an interesting twist to the bland flavour of the cabbage. With a blend of spices and besan, it tastes much like an evening snack with crunchy and soft texture. This is a perfect recipe if you want to cook something new using cabbage.",Indian
Simple Mutton Curry With Coconut Recipe,"Goat curry or Mutton is one of the spicy, sizzling gravy prepared using tender goat meat cooked in lot of Indian Spices and coconut paste which is best if served with Indian bread. While preparing any goat curry, make sure that the goat meat is fresh. The more tender the goat meat, more easier it is to cook and tastes good. Whenever I prepare goat curry, I always reserve a little for me to eat after 3rd or 4th day. Try it all the taste of meat goes into the curry the more you keep it, but do not forget to refrigerate.",South Indian Recipes
Lauki Wadi Tarkari Recipe - Bengali Style Moong Dal Dumplings & Bottle Gourd Sabzi,"Lauki Wadi Tarkari Recipe is the Bengali Style Moong Dal Dumplings & Bottle Gourd Sabzi that is cooked as a side dish to pair with rice or Indian flat breads. I have used the homemade sun dried badi made with moong dal to prepare this sabzi, and then deep fried them before making the tarkari.",Bengali Recipes
Menemen Recipe - Turkish Style Egg Scramble With Bell Peppers,Menemen Recipe - Turkish Style Egg Scramble With Bell Peppers is a classic breakfast recipe from Turkey. It is basically an egg scramble that is half cooked with lots of pulpy tangy tomatoes and chilies. We have also added some chopped bell peppers for an extra crunch to the dish. The scramble is made juicy that goes really well with any crusty bread.,Middle Eastern
Chilled Spinach And Cucumber Soup Recipe,"Chilled Spinach and Cucumber Soup is a refreshing and healthy soup, perfect for the summer season. It's quick to prepare with minimal cooking time and is a great way to consume vegetables. Chilled Spinach and Cucumber Soup makes a great weekday lunch by itself or can even be served as an elegant first course meal.",Continental
Hing Pani Puri Recipe -Aasfoetida Pani Puri,Hing Pani Puri Recipe has a slight twist in the pani flavour. The pani is made with fresh coriander and mint leaves mixed with a delicious flavours of asafoetida. The asafoetida here gives a lovely flavour to the pani. This pani tastes best served chilled along with puris and an aloo stuffing.,North Indian Recipes
Paleo Breakfast Casserole Recipe In A Mug,"Paleo Breakfast Casserole Recipe In A Mug includes healthy ingredients to provide you a protein boost when you start the day. This breakfast casserole is all that you crave for your breakfast in the mornings. It has eggs (which are low in calories but packed with proteins), vegetables and spices to fuel yourself in the mornings. And it is paleo, gluten free and so that you can munch on without any guilt. Moreover, it can be baked in the oven when you are busy with other daily chores and it can be prepared in oven safe mugs, thus a great option to attract kids to have such a healthy breakfast. Prepare this egg casserole in the mug and enjoy with a cup of your favorite juice.",Continental
No Churn Strawberry Ice Cream Recipe,"No Churn Strawberry Ice cream is an easy dessert that requires only 4 ingredients and no special equipment.  This ice cream is creamy and has a lovely velvet texture too.  You can serve this homemade No Churn Strawberry Ice Cream during summers when strawberries are in season, to beat the heat. ",Continental
Spicy Minced Chicken Keema Balls Curry Recipe,"A popular dish, this Keema Balls Recipe, is a favorite amongst meat lovers. The delicious keema ball  is spicy, juicy with flavours hidden inside it. It is simple and easy to cook. Unlike Chicken pieces, this minced meat is a lot easier to eat. ",North Indian Recipes
Mac and Cheese On Crostini Recipe,"Mac and Cheese Crostini is an Italian starter dish made with small and thin slices of toasted bread, which is brushed with olive oil and with the savory topping. This recipe is loaded with cheese and tastes really yummy. A simple dish that doesn't need too many ingredients to prepare. ",Italian Recipes
Homemade Butter Naan Recipe - Soft Yogurt Bread,The Homemade Butter Naan recipe is simple to make in your own kitchen. Naan is an Indian bread which is on every restaurant menu. It is a rich Indian bread that goes well with most Indian gravies. Everyone loves the soft texture of a good Butter naan. It is a hit among everyone. ,North Indian Recipes
Kerala Style Avial Recipe - Onam Sadya Recipe,The Avial Recipe is a traditional dish of the Kerala Cuisine that is made with a combination of root vegetables along with ash gourd and coconut. The flavors of the Avial comes from the use of coconut oil and curry leaves that make an important addition to this dish. The recipe is healthy and quick to make and at home.,Kerala Recipes
Broccoli egg bhurji recipe,"When we love to cook, we often experiment different dishes in our kitchen. Egg is one such versatile food which can be paired with any vegetable and a delicious recipe can be prepared. Broccoli Egg Bhurji is one such recipe, which is a combination of scrambled eggs and broccoli. This recipe is perfect for the days when you are tired after a busy day and don’t want to eat outside.",Indian
Rajasthani kachri phali ki sabzi recipe -Wild cucumber and beans sabzi,"Kachri is a wild variety of cucumber that resembles a brown yellow small melon.They come in different shape and size. Kachri Phali Ki Sabzi Recipe (Wild Cucumber And Beans Sabzi) is famous recipe in Rajasthan. It is easy to make and can be made with few ingredients and hence can even be made on weekdays. Serve Kachri Phali Ki Sabzi Recipe (Wild Cucumber And Beans Sabzi) along with Phulka, and Smoked Dal Makhani Dhaba Style for a weekday lunch.",Rajasthani
The Homemade Hard Taco Shells Recipe,The Homemade Hard Taco Shells recipe is super simple. Its not fried and baked making it healthy too. All you need is a few homemade corn tortillas and the Hard Taco Shells will be ready in just 7 minutes.,Mexican
Zarda Pulav Recipe (Rice Flavoured With Nuts And Saffron),Zarda Pulav is a rice dessert that is not kheer but exquisite nevertheless. An easy to make fragrant sweet and nutty pilaf that is a must have on special occasions or to simply to enjoy during monsoons or winters.,North Indian Recipes
Roasted Mushroom Zucchini Salad Recipe with Goat Cheese,"Roasted Mushroom Zucchini Salad recipe with Goat Cheese is a quick salad. The vegetables are roasted in a wok, but you could roast them in an oven too. The dressing with mustard and goat cheese makes this salad perfect for those simple dinners.",Continental
Doddapatre Soppina Chitranna Recipe (Spiced Indian Thyme Rice),"Doddapatre Soppina Chitranna (Indian Thyme Rice) Recipe is a one pot meal made with Thyme leaves as one of the main ingredients. Thyme leaves are called Doddapatre Soppu in Kannada. Its specialty lies in its health benefits and the ease of cooking. Doddapatre is a herb with medicinal properties well known for curing skin allergies, rashes and helpful in fighting dry cough.",South Indian Recipes
Usal Pav Recipe -A Delicious Mumbai Street Food," Usal Pav is a traditional and delicious Maharashtrian  Mumbai Street Food that is made using the dried peas. This recipe has a tangy taste to it that comes from the addition of tamarind with many wonderful Indian spices. It is usually eaten with pav, an Indian bread or can even be a stand-alone dish, and finds favour with both children and adults alike.",Maharashtrian Recipes
Grilled Aubergines with Tzatziki Sauce Recipe,"Grilled Aubergine with Tzatziki Sauce is a delicious and creamy dish of eggplant served with light yogurt based sauce. Eggplant is a very versatile vegetable, you can make a stunner of a dish in any cuisine with it. The glossy deep purple skin encasing the soft cream flesh dotted with ruby red pomegranate seeds makes this dish the show- stopper at any party menu. Grilled Aubergines Recipe is a great way to include eggplant in the daily menu and the light yogurt based sauce makes it a perfect meal for the summer season. ",Mediterranean
Maize daliya khichri recipe,"An old fashioned recipe cooked together with rice and lentil is known as Khichri, a dish of South Asian origin. To add more nutritious goodness, organic broken maize dahliya is added with some risotto rice instead of lentils and plain rice. Maize grain contains essential nutrients which lowers cholesterol, prevents, hypertension, diabetes, and few amazing health and beauty benefits one must not forget. So let's use this these nutritious dried broken corn with Indian spices and make a hearty and simple vegan dish.",Indian
